code,coursename,num_of_enrollees,semester,year
BEEd,Bachelor Of Elementary Education,131,2nd,2013
BSEd,Bachelor Of Secondary Education,163,2nd,2013
BSCE,Bachelor Of Science In Civil Engineering,350,2nd,2013
BSCpE,Bachelor Of Science In Computer Engineering,456,2nd,2013
BSEE,Bachelor Of Science In Electrical Engineering,287,2nd,2013
BSHM,Bachelor Of Science In Hospitality Management,111,2nd,2013
BSTM,Bachelor Of Science In Tourism Management,436,2nd,2013
BSBIO,Bachelor Of Science In Biology,375,2nd,2013
BIT,Bachelor In Industrial Technology,226,2nd,2013
BSF,Bachelor Of Science In Fisheries,444,2nd,2013
BSM,Bachelor Of Science In Midwifery,484,2nd,2013
BSN,Bachelor Of Science In Nursing,489,2nd,2013
BSAg,Bachelor of Science in Agriculture,388,Summer,2013
BAC,Bachelor Of Arts In Communication,266,Summer,2013
POLSCI,Bachelor Of Arts In Political Science,422,Summer,2013
BSSW,Bachelor Of Science In Social Work,211,Summer,2013
BSA,Bachelor Of Science In Accountancy,119,Summer,2013
BSAIS,Bachelor Of Science In Accounting Information System,455,Summer,2013
Entrep,Bs In Entrepreneurship,222,Summer,2013
BSBA,Bachelor Of Science In Business Administration,302,Summer,2013
BSCS,Bachelor Of Science In Computer Science,314,Summer,2013
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,241,Summer,2013
BSIT,Bachelor Of Science In Information Technology,130,Summer,2013
CRIM,Bachelor Of Science In Criminology,314,Summer,2013
BEEd,Bachelor Of Elementary Education,197,Summer,2013
BSEd,Bachelor Of Secondary Education,280,Summer,2013
BSCE,Bachelor Of Science In Civil Engineering,377,Summer,2013
BSCpE,Bachelor Of Science In Computer Engineering,161,Summer,2013
BSEE,Bachelor Of Science In Electrical Engineering,214,Summer,2013
BSHM,Bachelor Of Science In Hospitality Management,384,Summer,2013
BSTM,Bachelor Of Science In Tourism Management,176,Summer,2013
BSBIO,Bachelor Of Science In Biology,92,Summer,2013
BIT,Bachelor In Industrial Technology,377,Summer,2013
BSF,Bachelor Of Science In Fisheries,406,Summer,2013
BSM,Bachelor Of Science In Midwifery,56,Summer,2013
BSN,Bachelor Of Science In Nursing,333,Summer,2013
BSAg,Bachelor of Science in Agriculture,125,1st,2014
BAC,Bachelor Of Arts In Communication,445,1st,2014
POLSCI,Bachelor Of Arts In Political Science,497,1st,2014
BSSW,Bachelor Of Science In Social Work,331,1st,2014
BSA,Bachelor Of Science In Accountancy,239,1st,2014
BSAIS,Bachelor Of Science In Accounting Information System,296,1st,2014
Entrep,Bs In Entrepreneurship,108,1st,2014
BSBA,Bachelor Of Science In Business Administration,175,1st,2014
BSCS,Bachelor Of Science In Computer Science,355,1st,2014
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,353,1st,2014
BSIT,Bachelor Of Science In Information Technology,330,1st,2014
CRIM,Bachelor Of Science In Criminology,136,1st,2014
BEEd,Bachelor Of Elementary Education,168,1st,2014
BSEd,Bachelor Of Secondary Education,341,1st,2014
BSCE,Bachelor Of Science In Civil Engineering,264,1st,2014
BSCpE,Bachelor Of Science In Computer Engineering,168,1st,2014
BSEE,Bachelor Of Science In Electrical Engineering,251,1st,2014
BSHM,Bachelor Of Science In Hospitality Management,321,1st,2014
BSTM,Bachelor Of Science In Tourism Management,104,1st,2014
BSBIO,Bachelor Of Science In Biology,342,1st,2014
BIT,Bachelor In Industrial Technology,335,1st,2014
BSF,Bachelor Of Science In Fisheries,214,1st,2014
BSM,Bachelor Of Science In Midwifery,240,1st,2014
BSN,Bachelor Of Science In Nursing,73,1st,2014
BSAg,Bachelor of Science in Agriculture,351,2nd,2014
BAC,Bachelor Of Arts In Communication,478,2nd,2014
POLSCI,Bachelor Of Arts In Political Science,438,2nd,2014
BSSW,Bachelor Of Science In Social Work,82,2nd,2014
BSA,Bachelor Of Science In Accountancy,431,2nd,2014
BSAIS,Bachelor Of Science In Accounting Information System,230,2nd,2014
Entrep,Bs In Entrepreneurship,499,2nd,2014
BSBA,Bachelor Of Science In Business Administration,326,2nd,2014
BSCS,Bachelor Of Science In Computer Science,312,2nd,2014
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,440,2nd,2014
BSIT,Bachelor Of Science In Information Technology,476,2nd,2014
CRIM,Bachelor Of Science In Criminology,77,2nd,2014
BEEd,Bachelor Of Elementary Education,91,2nd,2014
BSEd,Bachelor Of Secondary Education,440,2nd,2014
BSCE,Bachelor Of Science In Civil Engineering,346,2nd,2014
BSCpE,Bachelor Of Science In Computer Engineering,450,2nd,2014
BSEE,Bachelor Of Science In Electrical Engineering,117,2nd,2014
BSHM,Bachelor Of Science In Hospitality Management,171,2nd,2014
BSTM,Bachelor Of Science In Tourism Management,175,2nd,2014
BSBIO,Bachelor Of Science In Biology,179,2nd,2014
BIT,Bachelor In Industrial Technology,125,2nd,2014
BSF,Bachelor Of Science In Fisheries,66,2nd,2014
BSM,Bachelor Of Science In Midwifery,97,2nd,2014
BSN,Bachelor Of Science In Nursing,126,2nd,2014
BSAg,Bachelor of Science in Agriculture,426,Summer,2014
BAC,Bachelor Of Arts In Communication,247,Summer,2014
POLSCI,Bachelor Of Arts In Political Science,59,Summer,2014
BSSW,Bachelor Of Science In Social Work,443,Summer,2014
BSA,Bachelor Of Science In Accountancy,390,Summer,2014
BSAIS,Bachelor Of Science In Accounting Information System,192,Summer,2014
Entrep,Bs In Entrepreneurship,384,Summer,2014
BSBA,Bachelor Of Science In Business Administration,316,Summer,2014
BSCS,Bachelor Of Science In Computer Science,424,Summer,2014
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,149,Summer,2014
BSIT,Bachelor Of Science In Information Technology,229,Summer,2014
CRIM,Bachelor Of Science In Criminology,125,Summer,2014
BEEd,Bachelor Of Elementary Education,352,Summer,2014
BSEd,Bachelor Of Secondary Education,315,Summer,2014
BSCE,Bachelor Of Science In Civil Engineering,66,Summer,2014
BSCpE,Bachelor Of Science In Computer Engineering,413,Summer,2014
BSEE,Bachelor Of Science In Electrical Engineering,342,Summer,2014
BSHM,Bachelor Of Science In Hospitality Management,478,Summer,2014
BSTM,Bachelor Of Science In Tourism Management,183,Summer,2014
BSBIO,Bachelor Of Science In Biology,212,Summer,2014
BIT,Bachelor In Industrial Technology,286,Summer,2014
BSF,Bachelor Of Science In Fisheries,195,Summer,2014
BSM,Bachelor Of Science In Midwifery,371,Summer,2014
BSN,Bachelor Of Science In Nursing,483,Summer,2014
BSAg,Bachelor of Science in Agriculture,171,1st,2015
BAC,Bachelor Of Arts In Communication,113,1st,2015
POLSCI,Bachelor Of Arts In Political Science,308,1st,2015
BSSW,Bachelor Of Science In Social Work,483,1st,2015
BSA,Bachelor Of Science In Accountancy,164,1st,2015
BSAIS,Bachelor Of Science In Accounting Information System,415,1st,2015
Entrep,Bs In Entrepreneurship,282,1st,2015
BSBA,Bachelor Of Science In Business Administration,317,1st,2015
BSCS,Bachelor Of Science In Computer Science,368,1st,2015
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,419,1st,2015
BSIT,Bachelor Of Science In Information Technology,274,1st,2015
CRIM,Bachelor Of Science In Criminology,326,1st,2015
BEEd,Bachelor Of Elementary Education,392,1st,2015
BSEd,Bachelor Of Secondary Education,278,1st,2015
BSCE,Bachelor Of Science In Civil Engineering,362,1st,2015
BSCpE,Bachelor Of Science In Computer Engineering,281,1st,2015
BSEE,Bachelor Of Science In Electrical Engineering,312,1st,2015
BSHM,Bachelor Of Science In Hospitality Management,202,1st,2015
BSTM,Bachelor Of Science In Tourism Management,94,1st,2015
BSBIO,Bachelor Of Science In Biology,308,1st,2015
BIT,Bachelor In Industrial Technology,449,1st,2015
BSF,Bachelor Of Science In Fisheries,295,1st,2015
BSM,Bachelor Of Science In Midwifery,210,1st,2015
BSN,Bachelor Of Science In Nursing,325,1st,2015
BSAg,Bachelor of Science in Agriculture,396,2nd,2015
BAC,Bachelor Of Arts In Communication,492,2nd,2015
POLSCI,Bachelor Of Arts In Political Science,391,2nd,2015
BSSW,Bachelor Of Science In Social Work,272,2nd,2015
BSA,Bachelor Of Science In Accountancy,157,2nd,2015
BSAIS,Bachelor Of Science In Accounting Information System,264,2nd,2015
Entrep,Bs In Entrepreneurship,330,2nd,2015
BSBA,Bachelor Of Science In Business Administration,303,2nd,2015
BSCS,Bachelor Of Science In Computer Science,161,2nd,2015
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,485,2nd,2015
BSIT,Bachelor Of Science In Information Technology,401,2nd,2015
CRIM,Bachelor Of Science In Criminology,184,2nd,2015
BEEd,Bachelor Of Elementary Education,208,2nd,2015
BSEd,Bachelor Of Secondary Education,405,2nd,2015
BSCE,Bachelor Of Science In Civil Engineering,360,2nd,2015
BSCpE,Bachelor Of Science In Computer Engineering,169,2nd,2015
BSEE,Bachelor Of Science In Electrical Engineering,351,2nd,2015
BSHM,Bachelor Of Science In Hospitality Management,208,2nd,2015
BSTM,Bachelor Of Science In Tourism Management,220,2nd,2015
BSBIO,Bachelor Of Science In Biology,265,2nd,2015
BIT,Bachelor In Industrial Technology,424,2nd,2015
BSF,Bachelor Of Science In Fisheries,450,2nd,2015
BSM,Bachelor Of Science In Midwifery,248,2nd,2015
BSN,Bachelor Of Science In Nursing,147,2nd,2015
BSAg,Bachelor of Science in Agriculture,114,Summer,2015
BAC,Bachelor Of Arts In Communication,323,Summer,2015
POLSCI,Bachelor Of Arts In Political Science,450,Summer,2015
BSSW,Bachelor Of Science In Social Work,66,Summer,2015
BSA,Bachelor Of Science In Accountancy,208,Summer,2015
BSAIS,Bachelor Of Science In Accounting Information System,288,Summer,2015
Entrep,Bs In Entrepreneurship,180,Summer,2015
BSBA,Bachelor Of Science In Business Administration,93,Summer,2015
BSCS,Bachelor Of Science In Computer Science,194,Summer,2015
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,486,Summer,2015
BSIT,Bachelor Of Science In Information Technology,155,Summer,2015
CRIM,Bachelor Of Science In Criminology,65,Summer,2015
BEEd,Bachelor Of Elementary Education,405,Summer,2015
BSEd,Bachelor Of Secondary Education,477,Summer,2015
BSCE,Bachelor Of Science In Civil Engineering,99,Summer,2015
BSCpE,Bachelor Of Science In Computer Engineering,423,Summer,2015
BSEE,Bachelor Of Science In Electrical Engineering,326,Summer,2015
BSHM,Bachelor Of Science In Hospitality Management,202,Summer,2015
BSTM,Bachelor Of Science In Tourism Management,279,Summer,2015
BSBIO,Bachelor Of Science In Biology,298,Summer,2015
BIT,Bachelor In Industrial Technology,295,Summer,2015
BSF,Bachelor Of Science In Fisheries,84,Summer,2015
BSM,Bachelor Of Science In Midwifery,305,Summer,2015
BSN,Bachelor Of Science In Nursing,106,Summer,2015
BSAg,Bachelor of Science in Agriculture,245,1st,2016
BAC,Bachelor Of Arts In Communication,249,1st,2016
POLSCI,Bachelor Of Arts In Political Science,410,1st,2016
BSSW,Bachelor Of Science In Social Work,346,1st,2016
BSA,Bachelor Of Science In Accountancy,116,1st,2016
BSAIS,Bachelor Of Science In Accounting Information System,350,1st,2016
Entrep,Bs In Entrepreneurship,440,1st,2016
BSBA,Bachelor Of Science In Business Administration,361,1st,2016
BSCS,Bachelor Of Science In Computer Science,220,1st,2016
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,349,1st,2016
BSIT,Bachelor Of Science In Information Technology,408,1st,2016
CRIM,Bachelor Of Science In Criminology,197,1st,2016
BEEd,Bachelor Of Elementary Education,163,1st,2016
BSEd,Bachelor Of Secondary Education,272,1st,2016
BSCE,Bachelor Of Science In Civil Engineering,497,1st,2016
BSCpE,Bachelor Of Science In Computer Engineering,94,1st,2016
BSEE,Bachelor Of Science In Electrical Engineering,129,1st,2016
BSHM,Bachelor Of Science In Hospitality Management,362,1st,2016
BSTM,Bachelor Of Science In Tourism Management,458,1st,2016
BSBIO,Bachelor Of Science In Biology,419,1st,2016
BIT,Bachelor In Industrial Technology,268,1st,2016
BSF,Bachelor Of Science In Fisheries,460,1st,2016
BSM,Bachelor Of Science In Midwifery,402,1st,2016
BSN,Bachelor Of Science In Nursing,137,1st,2016
BSAg,Bachelor of Science in Agriculture,255,2nd,2016
BAC,Bachelor Of Arts In Communication,362,2nd,2016
POLSCI,Bachelor Of Arts In Political Science,264,2nd,2016
BSSW,Bachelor Of Science In Social Work,360,2nd,2016
BSA,Bachelor Of Science In Accountancy,493,2nd,2016
BSAIS,Bachelor Of Science In Accounting Information System,434,2nd,2016
Entrep,Bs In Entrepreneurship,198,2nd,2016
BSBA,Bachelor Of Science In Business Administration,488,2nd,2016
BSCS,Bachelor Of Science In Computer Science,158,2nd,2016
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,53,2nd,2016
BSIT,Bachelor Of Science In Information Technology,153,2nd,2016
CRIM,Bachelor Of Science In Criminology,147,2nd,2016
BEEd,Bachelor Of Elementary Education,161,2nd,2016
BSEd,Bachelor Of Secondary Education,205,2nd,2016
BSCE,Bachelor Of Science In Civil Engineering,161,2nd,2016
BSCpE,Bachelor Of Science In Computer Engineering,203,2nd,2016
BSEE,Bachelor Of Science In Electrical Engineering,139,2nd,2016
BSHM,Bachelor Of Science In Hospitality Management,224,2nd,2016
BSTM,Bachelor Of Science In Tourism Management,92,2nd,2016
BSBIO,Bachelor Of Science In Biology,446,2nd,2016
BIT,Bachelor In Industrial Technology,473,2nd,2016
BSF,Bachelor Of Science In Fisheries,274,2nd,2016
BSM,Bachelor Of Science In Midwifery,229,2nd,2016
BSN,Bachelor Of Science In Nursing,234,2nd,2016
BSAg,Bachelor of Science in Agriculture,124,Summer,2016
BAC,Bachelor Of Arts In Communication,479,Summer,2016
POLSCI,Bachelor Of Arts In Political Science,302,Summer,2016
BSSW,Bachelor Of Science In Social Work,127,Summer,2016
BSA,Bachelor Of Science In Accountancy,467,Summer,2016
BSAIS,Bachelor Of Science In Accounting Information System,193,Summer,2016
Entrep,Bs In Entrepreneurship,270,Summer,2016
BSBA,Bachelor Of Science In Business Administration,71,Summer,2016
BSCS,Bachelor Of Science In Computer Science,390,Summer,2016
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,99,Summer,2016
BSIT,Bachelor Of Science In Information Technology,324,Summer,2016
CRIM,Bachelor Of Science In Criminology,70,Summer,2016
BEEd,Bachelor Of Elementary Education,147,Summer,2016
BSEd,Bachelor Of Secondary Education,130,Summer,2016
BSCE,Bachelor Of Science In Civil Engineering,375,Summer,2016
BSCpE,Bachelor Of Science In Computer Engineering,150,Summer,2016
BSEE,Bachelor Of Science In Electrical Engineering,453,Summer,2016
BSHM,Bachelor Of Science In Hospitality Management,453,Summer,2016
BSTM,Bachelor Of Science In Tourism Management,232,Summer,2016
BSBIO,Bachelor Of Science In Biology,150,Summer,2016
BIT,Bachelor In Industrial Technology,130,Summer,2016
BSF,Bachelor Of Science In Fisheries,64,Summer,2016
BSM,Bachelor Of Science In Midwifery,130,Summer,2016
BSN,Bachelor Of Science In Nursing,333,Summer,2016
BSAg,Bachelor of Science in Agriculture,337,1st,2017
BAC,Bachelor Of Arts In Communication,449,1st,2017
POLSCI,Bachelor Of Arts In Political Science,293,1st,2017
BSSW,Bachelor Of Science In Social Work,404,1st,2017
BSA,Bachelor Of Science In Accountancy,166,1st,2017
BSAIS,Bachelor Of Science In Accounting Information System,395,1st,2017
Entrep,Bs In Entrepreneurship,134,1st,2017
BSBA,Bachelor Of Science In Business Administration,260,1st,2017
BSCS,Bachelor Of Science In Computer Science,208,1st,2017
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,458,1st,2017
BSIT,Bachelor Of Science In Information Technology,105,1st,2017
CRIM,Bachelor Of Science In Criminology,266,1st,2017
BEEd,Bachelor Of Elementary Education,427,1st,2017
BSEd,Bachelor Of Secondary Education,277,1st,2017
BSCE,Bachelor Of Science In Civil Engineering,208,1st,2017
BSCpE,Bachelor Of Science In Computer Engineering,319,1st,2017
BSEE,Bachelor Of Science In Electrical Engineering,114,1st,2017
BSHM,Bachelor Of Science In Hospitality Management,215,1st,2017
BSTM,Bachelor Of Science In Tourism Management,281,1st,2017
BSBIO,Bachelor Of Science In Biology,387,1st,2017
BIT,Bachelor In Industrial Technology,360,1st,2017
BSF,Bachelor Of Science In Fisheries,316,1st,2017
BSM,Bachelor Of Science In Midwifery,104,1st,2017
BSN,Bachelor Of Science In Nursing,241,1st,2017
BSAg,Bachelor of Science in Agriculture,75,2nd,2017
BAC,Bachelor Of Arts In Communication,336,2nd,2017
POLSCI,Bachelor Of Arts In Political Science,328,2nd,2017
BSSW,Bachelor Of Science In Social Work,288,2nd,2017
BSA,Bachelor Of Science In Accountancy,443,2nd,2017
BSAIS,Bachelor Of Science In Accounting Information System,200,2nd,2017
Entrep,Bs In Entrepreneurship,376,2nd,2017
BSBA,Bachelor Of Science In Business Administration,422,2nd,2017
BSCS,Bachelor Of Science In Computer Science,261,2nd,2017
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,154,2nd,2017
BSIT,Bachelor Of Science In Information Technology,317,2nd,2017
CRIM,Bachelor Of Science In Criminology,448,2nd,2017
BEEd,Bachelor Of Elementary Education,187,2nd,2017
BSEd,Bachelor Of Secondary Education,384,2nd,2017
BSCE,Bachelor Of Science In Civil Engineering,279,2nd,2017
BSCpE,Bachelor Of Science In Computer Engineering,489,2nd,2017
BSEE,Bachelor Of Science In Electrical Engineering,450,2nd,2017
BSHM,Bachelor Of Science In Hospitality Management,290,2nd,2017
BSTM,Bachelor Of Science In Tourism Management,122,2nd,2017
BSBIO,Bachelor Of Science In Biology,287,2nd,2017
BIT,Bachelor In Industrial Technology,67,2nd,2017
BSF,Bachelor Of Science In Fisheries,455,2nd,2017
BSM,Bachelor Of Science In Midwifery,161,2nd,2017
BSN,Bachelor Of Science In Nursing,486,2nd,2017
BSAg,Bachelor of Science in Agriculture,393,Summer,2017
BAC,Bachelor Of Arts In Communication,311,Summer,2017
POLSCI,Bachelor Of Arts In Political Science,474,Summer,2017
BSSW,Bachelor Of Science In Social Work,355,Summer,2017
BSA,Bachelor Of Science In Accountancy,320,Summer,2017
BSAIS,Bachelor Of Science In Accounting Information System,95,Summer,2017
Entrep,Bs In Entrepreneurship,362,Summer,2017
BSBA,Bachelor Of Science In Business Administration,317,Summer,2017
BSCS,Bachelor Of Science In Computer Science,256,Summer,2017
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,422,Summer,2017
BSIT,Bachelor Of Science In Information Technology,388,Summer,2017
CRIM,Bachelor Of Science In Criminology,414,Summer,2017
BEEd,Bachelor Of Elementary Education,131,Summer,2017
BSEd,Bachelor Of Secondary Education,112,Summer,2017
BSCE,Bachelor Of Science In Civil Engineering,344,Summer,2017
BSCpE,Bachelor Of Science In Computer Engineering,369,Summer,2017
BSEE,Bachelor Of Science In Electrical Engineering,352,Summer,2017
BSHM,Bachelor Of Science In Hospitality Management,126,Summer,2017
BSTM,Bachelor Of Science In Tourism Management,428,Summer,2017
BSBIO,Bachelor Of Science In Biology,277,Summer,2017
BIT,Bachelor In Industrial Technology,345,Summer,2017
BSF,Bachelor Of Science In Fisheries,265,Summer,2017
BSM,Bachelor Of Science In Midwifery,433,Summer,2017
BSN,Bachelor Of Science In Nursing,291,Summer,2017
BSAg,Bachelor of Science in Agriculture,387,1st,2018
BAC,Bachelor Of Arts In Communication,473,1st,2018
POLSCI,Bachelor Of Arts In Political Science,474,1st,2018
BSSW,Bachelor Of Science In Social Work,343,1st,2018
BSA,Bachelor Of Science In Accountancy,244,1st,2018
BSAIS,Bachelor Of Science In Accounting Information System,473,1st,2018
Entrep,Bs In Entrepreneurship,404,1st,2018
BSBA,Bachelor Of Science In Business Administration,118,1st,2018
BSCS,Bachelor Of Science In Computer Science,478,1st,2018
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,364,1st,2018
BSIT,Bachelor Of Science In Information Technology,375,1st,2018
CRIM,Bachelor Of Science In Criminology,302,1st,2018
BEEd,Bachelor Of Elementary Education,343,1st,2018
BSEd,Bachelor Of Secondary Education,94,1st,2018
BSCE,Bachelor Of Science In Civil Engineering,109,1st,2018
BSCpE,Bachelor Of Science In Computer Engineering,270,1st,2018
BSEE,Bachelor Of Science In Electrical Engineering,292,1st,2018
BSHM,Bachelor Of Science In Hospitality Management,369,1st,2018
BSTM,Bachelor Of Science In Tourism Management,97,1st,2018
BSBIO,Bachelor Of Science In Biology,325,1st,2018
BIT,Bachelor In Industrial Technology,431,1st,2018
BSF,Bachelor Of Science In Fisheries,190,1st,2018
BSM,Bachelor Of Science In Midwifery,238,1st,2018
BSN,Bachelor Of Science In Nursing,118,1st,2018
BSAg,Bachelor of Science in Agriculture,500,2nd,2018
BAC,Bachelor Of Arts In Communication,366,2nd,2018
POLSCI,Bachelor Of Arts In Political Science,444,2nd,2018
BSSW,Bachelor Of Science In Social Work,142,2nd,2018
BSA,Bachelor Of Science In Accountancy,121,2nd,2018
BSAIS,Bachelor Of Science In Accounting Information System,311,2nd,2018
Entrep,Bs In Entrepreneurship,304,2nd,2018
BSBA,Bachelor Of Science In Business Administration,165,2nd,2018
BSCS,Bachelor Of Science In Computer Science,56,2nd,2018
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,485,2nd,2018
BSIT,Bachelor Of Science In Information Technology,281,2nd,2018
CRIM,Bachelor Of Science In Criminology,369,2nd,2018
BEEd,Bachelor Of Elementary Education,210,2nd,2018
BSEd,Bachelor Of Secondary Education,284,2nd,2018
BSCE,Bachelor Of Science In Civil Engineering,270,2nd,2018
BSCpE,Bachelor Of Science In Computer Engineering,385,2nd,2018
BSEE,Bachelor Of Science In Electrical Engineering,405,2nd,2018
BSHM,Bachelor Of Science In Hospitality Management,159,2nd,2018
BSTM,Bachelor Of Science In Tourism Management,498,2nd,2018
BSBIO,Bachelor Of Science In Biology,372,2nd,2018
BIT,Bachelor In Industrial Technology,405,2nd,2018
BSF,Bachelor Of Science In Fisheries,146,2nd,2018
BSM,Bachelor Of Science In Midwifery,149,2nd,2018
BSN,Bachelor Of Science In Nursing,121,2nd,2018
BSAg,Bachelor of Science in Agriculture,170,Summer,2018
BAC,Bachelor Of Arts In Communication,168,Summer,2018
POLSCI,Bachelor Of Arts In Political Science,133,Summer,2018
BSSW,Bachelor Of Science In Social Work,398,Summer,2018
BSA,Bachelor Of Science In Accountancy,400,Summer,2018
BSAIS,Bachelor Of Science In Accounting Information System,271,Summer,2018
Entrep,Bs In Entrepreneurship,334,Summer,2018
BSBA,Bachelor Of Science In Business Administration,218,Summer,2018
BSCS,Bachelor Of Science In Computer Science,278,Summer,2018
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,344,Summer,2018
BSIT,Bachelor Of Science In Information Technology,386,Summer,2018
CRIM,Bachelor Of Science In Criminology,169,Summer,2018
BEEd,Bachelor Of Elementary Education,384,Summer,2018
BSEd,Bachelor Of Secondary Education,94,Summer,2018
BSCE,Bachelor Of Science In Civil Engineering,76,Summer,2018
BSCpE,Bachelor Of Science In Computer Engineering,384,Summer,2018
BSEE,Bachelor Of Science In Electrical Engineering,145,Summer,2018
BSHM,Bachelor Of Science In Hospitality Management,394,Summer,2018
BSTM,Bachelor Of Science In Tourism Management,170,Summer,2018
BSBIO,Bachelor Of Science In Biology,371,Summer,2018
BIT,Bachelor In Industrial Technology,157,Summer,2018
BSF,Bachelor Of Science In Fisheries,325,Summer,2018
BSM,Bachelor Of Science In Midwifery,197,Summer,2018
BSN,Bachelor Of Science In Nursing,400,Summer,2018
BSAg,Bachelor of Science in Agriculture,118,1st,2019
BAC,Bachelor Of Arts In Communication,143,1st,2019
POLSCI,Bachelor Of Arts In Political Science,162,1st,2019
BSSW,Bachelor Of Science In Social Work,182,1st,2019
BSA,Bachelor Of Science In Accountancy,76,1st,2019
BSAIS,Bachelor Of Science In Accounting Information System,52,1st,2019
Entrep,Bs In Entrepreneurship,239,1st,2019
BSBA,Bachelor Of Science In Business Administration,153,1st,2019
BSCS,Bachelor Of Science In Computer Science,450,1st,2019
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,259,1st,2019
BSIT,Bachelor Of Science In Information Technology,55,1st,2019
CRIM,Bachelor Of Science In Criminology,409,1st,2019
BEEd,Bachelor Of Elementary Education,246,1st,2019
BSEd,Bachelor Of Secondary Education,386,1st,2019
BSCE,Bachelor Of Science In Civil Engineering,435,1st,2019
BSCpE,Bachelor Of Science In Computer Engineering,55,1st,2019
BSEE,Bachelor Of Science In Electrical Engineering,82,1st,2019
BSHM,Bachelor Of Science In Hospitality Management,189,1st,2019
BSTM,Bachelor Of Science In Tourism Management,260,1st,2019
BSBIO,Bachelor Of Science In Biology,471,1st,2019
BIT,Bachelor In Industrial Technology,278,1st,2019
BSF,Bachelor Of Science In Fisheries,212,1st,2019
BSM,Bachelor Of Science In Midwifery,115,1st,2019
BSN,Bachelor Of Science In Nursing,430,1st,2019
BSAg,Bachelor of Science in Agriculture,164,2nd,2019
BAC,Bachelor Of Arts In Communication,283,2nd,2019
POLSCI,Bachelor Of Arts In Political Science,463,2nd,2019
BSSW,Bachelor Of Science In Social Work,320,2nd,2019
BSA,Bachelor Of Science In Accountancy,138,2nd,2019
BSAIS,Bachelor Of Science In Accounting Information System,111,2nd,2019
Entrep,Bs In Entrepreneurship,254,2nd,2019
BSBA,Bachelor Of Science In Business Administration,303,2nd,2019
BSCS,Bachelor Of Science In Computer Science,379,2nd,2019
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,198,2nd,2019
BSIT,Bachelor Of Science In Information Technology,63,2nd,2019
CRIM,Bachelor Of Science In Criminology,92,2nd,2019
BEEd,Bachelor Of Elementary Education,361,2nd,2019
BSEd,Bachelor Of Secondary Education,233,2nd,2019
BSCE,Bachelor Of Science In Civil Engineering,341,2nd,2019
BSCpE,Bachelor Of Science In Computer Engineering,75,2nd,2019
BSEE,Bachelor Of Science In Electrical Engineering,373,2nd,2019
BSHM,Bachelor Of Science In Hospitality Management,335,2nd,2019
BSTM,Bachelor Of Science In Tourism Management,334,2nd,2019
BSBIO,Bachelor Of Science In Biology,334,2nd,2019
BIT,Bachelor In Industrial Technology,148,2nd,2019
BSF,Bachelor Of Science In Fisheries,117,2nd,2019
BSM,Bachelor Of Science In Midwifery,233,2nd,2019
BSN,Bachelor Of Science In Nursing,367,2nd,2019
BSAg,Bachelor of Science in Agriculture,89,Summer,2019
BAC,Bachelor Of Arts In Communication,250,Summer,2019
POLSCI,Bachelor Of Arts In Political Science,111,Summer,2019
BSSW,Bachelor Of Science In Social Work,266,Summer,2019
BSA,Bachelor Of Science In Accountancy,51,Summer,2019
BSAIS,Bachelor Of Science In Accounting Information System,243,Summer,2019
Entrep,Bs In Entrepreneurship,121,Summer,2019
BSBA,Bachelor Of Science In Business Administration,393,Summer,2019
BSCS,Bachelor Of Science In Computer Science,228,Summer,2019
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,471,Summer,2019
BSIT,Bachelor Of Science In Information Technology,376,Summer,2019
CRIM,Bachelor Of Science In Criminology,246,Summer,2019
BEEd,Bachelor Of Elementary Education,422,Summer,2019
BSEd,Bachelor Of Secondary Education,321,Summer,2019
BSCE,Bachelor Of Science In Civil Engineering,383,Summer,2019
BSCpE,Bachelor Of Science In Computer Engineering,361,Summer,2019
BSEE,Bachelor Of Science In Electrical Engineering,357,Summer,2019
BSHM,Bachelor Of Science In Hospitality Management,287,Summer,2019
BSTM,Bachelor Of Science In Tourism Management,147,Summer,2019
BSBIO,Bachelor Of Science In Biology,309,Summer,2019
BIT,Bachelor In Industrial Technology,199,Summer,2019
BSF,Bachelor Of Science In Fisheries,347,Summer,2019
BSM,Bachelor Of Science In Midwifery,249,Summer,2019
BSN,Bachelor Of Science In Nursing,173,Summer,2019
